reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,tokens_stemmed
8464f7f8-757c-40ab-8eb1-19566b11a16a,Di***********ti,https://play-lh.googleusercontent.com/a-/ALV-UjU_ilDpFcc9p2uwSesMEfLe-9mMS14tL-Fx_07z3cy4uBuJONie,neat clean nice,5,0,,2025-09-08 08:15:54,,,,"['neat', 'clean', 'driver', 'nice']"
7cc21fd2-c527-463b-be80-e6459c4e4834,Ju********ot,https://play-lh.googleusercontent.com/a-/ALV-UjV1sGoEPMVUKfxkPfO8Zi1KM1vBxrASh7bLxDxt71jZ2E-44ID8,simple mudah digunakan lengkap fast respon pertahankan baik u update semakin bagus kedepan sukses selalu green sm ,5,0,4.9.1,2025-09-08 07:17:42,,,4.9.1,"['aplikasi', 'simple', 'mudah', 'digunakan', 'lengkap', 'fast', 'respon', 'pertahankan', 'baik', 'u', 'update', 'semakin', 'bagus', 'kedepan', 'sukses', 'selalu', 'green', 'sm', '']"
06c464c1-746f-4c4d-92bd-1838006ac590,Pi********ys,https://play-lh.googleusercontent.com/a/ACg8ocLqqoqVT9VMJnazvLuXn7NNZxYnZlTkc-8iWfT-a5Kw1A9-t8f6=mo,nyaman bersih ramah,5,0,4.9.1,2025-09-06 10:06:14,,,4.9.1,"['nyaman', 'bersih', 'driver', 'ramah']"
1cde6411-ef88-48c6-9a33-7fef6e13e426,Yu********as,https://play-lh.googleusercontent.com/a-/ALV-UjVD-HcucxI74ePJuXzkVFMtz1MPSXklcV6f9SfvAbY2uXIiRB2f,apasih login mau otp bisa perangkat kunci mulu,1,0,4.9.1,2025-09-05 13:03:53,,,4.9.1,"['apasih', 'aplikasi', 'login', 'mau', 'otp', 'bisa', 'perangkat', 'kunci', 'mulu']"
a3fc8cfd-57e8-404a-bf57-885436c6a8a9,Dh*********ma,https://play-lh.googleusercontent.com/a-/ALV-UjVmkcaGn-DpFa1w1PfwW4IBlWWxEuM6e05cY3uTuqxZw-KZzkP2SA,coba baru isi semoga mobil banyak,5,0,4.9.1,2025-09-04 21:07:21,,,4.9.1,"['coba', 'baru', 'isi', 'aplikasi', 'semoga', 'mobil', 'banyak']"
7a414094-352b-4803-a5ff-6f8b23490721,He***********ah,https://play-lh.googleusercontent.com/a-/ALV-UjXR3h1RGLzXBs71ya6vZbKH0n-cLIb4Z9ahq-gFbqgP7yEzJig,unpleasant experience,1,0,,2025-09-04 19:15:33,,,,"['unpleasant', 'experience']"
e243be58-c004-4ba5-8443-d136eb1e3754,Su***********no,https://play-lh.googleusercontent.com/a-/ALV-UjUgzoQxkkjYYP7bNtmZZCZbQ27ukFTfG0_-FigAaLKUfaMsuIwNng,good response,4,0,4.9.1,2025-09-04 16:41:02,,,4.9.1,"['good', 'response']"
c5e1fcca-c1e4-4fcc-8c55-d2573e381fbc,As**********an,https://play-lh.googleusercontent.com/a-/ALV-UjWNZwHfck5zZHYvosP4YlPM_D-_9BKqHcGFewSpJ297PeIDxxwO,ok banget,5,0,4.9.1,2025-09-03 14:33:38,,,4.9.1,"['ok', 'banget']"
03410446-b75c-4401-b4b1-3f54e7ecff04,Ha*SF,https://play-lh.googleusercontent.com/a-/ALV-UjUw-GB0F75i2YbiL0AK_t2miOiBwOvhrrr-q3K97Z_1iqYC-ik-,menarik adain daerah bandung,5,0,4.8.1,2025-09-02 01:09:55,,,4.8.1,"['menarik', 'adain', 'daerah', 'bandung']"
daf6a8a8-55cb-49f2-ab8d-234bb99e1037,Ta********ni,https://play-lh.googleusercontent.com/a-/ALV-UjWYEiu99juOjcdVj3Cdqef8RUFY8J_DsQgng2U6pY3uSSOqKqU,blok c 11,5,0,4.8.1,2025-08-31 12:14:10,,,4.8.1,"['blok', 'c', '11']"
e3b153d4-044d-444d-b80e-1aa2269d286d,****,https://play-lh.googleusercontent.com/a/ACg8ocJehpeTg8lundGi6MK9XxVhDZdPsbJqggCCSo0NpBEVjrwmhw=mo,cepat kurang 10menit,5,0,4.8.1,2025-08-30 20:35:13,,,4.8.1,"['cepat', 'kurang', '10menit']"
acbbf537-12b0-4dab-a4e3-224176d9df41,Yu*******ar,https://play-lh.googleusercontent.com/a-/ALV-UjXBvmO2B5CbIMs7TAB4VAHALYYQ8uio2hC8xoDeZKDI6Sk_InAo,need improve accuracy map well reach phone instead long texting,3,0,4.9.0,2025-08-29 16:42:38,,,4.9.0,"['need', 'improve', 'accuracy', 'map', 'well', 'driver', 'reach', 'phone', 'instead', 'long', 'texting']"
76bc3abc-ad97-4331-a3ce-34f5413e457b,Ro****ES,https://play-lh.googleusercontent.com/a-/ALV-UjUpv-CHEpJcoYtqfMaBRv7FKDEPkmOKlNG7R2aL7LnibP1kUtcWrA,really fall love clean tidy,5,1,4.8.1,2025-08-28 22:57:46,,,4.8.1,"['really', 'fall', 'love', 'clean', 'tidy', 'car']"
1c836ad0-5d92-4fdd-bf33-559484c7f6dd,Mo*****************el,https://play-lh.googleusercontent.com/a-/ALV-UjWf-mHSpLKViFkePZzyDXULnE_EHxpEizorOvYgHhX379y0ArFy,pernah minta ganti rute pakai apps jarak lebih dekat argo lebih mahal beda 10rb hah tidak tau siapa error,2,0,4.9.0,2025-08-28 17:10:38,,,4.9.0,"['pernah', 'minta', 'ganti', 'rute', 'pakai', 'apps', 'jarak', 'lebih', 'dekat', 'argo', 'lebih', 'mahal', 'beda', '10rb', 'hah', 'tidak', 'tau', 'siapa', 'error']"
5b9cf9c7-5490-46b2-9509-2657a7c2698a,Su************na,https://play-lh.googleusercontent.com/a-/ALV-UjWGSiwDz_FYNXOyyEsdRFHGmPlvzmVZezwOc_6_NJ6BbE4RKwEs,love,5,0,4.8.1,2025-08-28 16:58:23,,,4.8.1,['love']
b317032e-2d58-499b-942e-a70c5eb0f920,Sy***********ni,https://play-lh.googleusercontent.com/a-/ALV-UjUQI9OoebYAdroewM13WnJua9GBvIJFHxSTJQ2m4LDLoJWaM27L,environment taxi friendly,5,0,4.8.1,2025-08-28 09:22:20,,,4.8.1,"['environment', 'taxi', 'friendly']"
6c178f77-f31b-4e31-a8a6-624bed0dcf88,zu************di,https://play-lh.googleusercontent.com/a/ACg8ocIobT6hbTrJ4fglVBZYACk-sXWTPlCZnG1JPZK48ETTO_Pr1Q=mo,nyaman banget naik taksi ini mobil premium tidak berisik ramah tidak kaya kebanyakan taksi lain worth price banget bilang berkualitas aman kantong,5,0,4.8.1,2025-08-28 09:21:36,,,4.8.1,"['nyaman', 'banget', 'naik', 'taksi', 'ini', 'mobil', 'premium', 'tidak', 'berisik', 'driver', 'ramah', 'tidak', 'kaya', 'kebanyakan', 'taksi', 'lain', 'worth', 'price', 'banget', 'bilang', 'berkualitas', 'aman', 'kantong']"
1c1a98de-28b4-4255-adb6-36f8b297640d,El**********ra,https://play-lh.googleusercontent.com/a/ACg8ocKvm_K4ZAN0qhJtSLX0yCJA8mymvKYR-u_IJbBthwYxRIrZ1A=mo,best taxi town,5,0,4.8.1,2025-08-28 09:19:19,,,4.8.1,"['best', 'taxi', 'town']"
85ca4a80-640f-4c96-ac79-1f836887fd29,Ev*********di,https://play-lh.googleusercontent.com/a-/ALV-UjUutLY26XRylzJsKiaPa4Z2E5iasztvXf_9ZjwzL1Hs-zcJnpWT,taxi online baikkk,5,0,4.9.0,2025-08-28 09:18:26,,,4.9.0,"['taxi', 'online', 'baikkk']"
e4f70533-19b5-454d-be28-8864d3ceae67,Yu*********yu,https://play-lh.googleusercontent.com/a-/ALV-UjV5PkQZcylbKgDrrMhT61-nDtsdZzYrasOdOU2TFRUZXt60ByRX,efisien ramah lingkungan,5,0,4.8.1,2025-08-28 09:17:29,,,4.8.1,"['efisien', 'ramah', 'lingkungan']"
fe638c07-1069-47cc-8355-7a1dbcfa3dce,Ha***na,https://play-lh.googleusercontent.com/a/ACg8ocIq4c0y-pBz4U3q4HSesZ2qajoju8nkP-FQXpPFSa4A4qmRTg=mo,layanan puas baik,5,0,4.9.0,2025-08-28 09:16:42,,,4.9.0,"['layanan', 'puas', 'baik']"
6d1ebeaa-74fd-4546-a040-c51b9ca0d563,Mu**************in,https://play-lh.googleusercontent.com/a-/ALV-UjWGmg4a4owY2335VuoIYiaC9g6ME1_905vPL7h-UkSzTLH1FcDV,gampang pelayanan maksimal minta perjalanan senyap cocok banget buat perjalanan sepulang kerja udah capek banget,5,0,4.8.1,2025-08-26 10:32:19,,,4.8.1,"['aplikasi', 'gampang', 'pelayanan', 'maksimal', 'minta', 'perjalanan', 'senyap', 'cocok', 'banget', 'buat', 'perjalanan', 'sepulang', 'kerja', 'udah', 'capek', 'banget']"
cc844012-c120-4ff6-8d78-55c436f49be1,Bo******an,https://play-lh.googleusercontent.com/a-/ALV-UjWLIBSOOR0LPTL7x626qNQgLfAiEiH9iT6hsVlR1_DTNRGEleInsA,oke,5,0,4.8.1,2025-08-25 18:54:52,,,4.8.1,['oke']
